date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2016-10-23,1293216,598400,301,80,290,77,217,47,0.0018620245960458267,4.948902580852696e-4,0.003877005347593583,0.0010294117647058824,0.0013423898250562937,2.907480266250959e-4,0,495,0,0,245025
2016-10-24,0,0,301,120,288,116,156,42,0,0,0,0,0,0,0,496,0,0,246016
2016-10-25,2392800,977080,509,74,462,71,194,16,0.00170177198261451,2.474088933467068e-4,0.0037826994718958527,5.813239448151635e-4,6.486125041792043e-4,5.3493814777666334e-5,0,497,0,0,247009
2016-10-26,5284592,1897952,1130,78,1121,78,990,32,0.0017106334793679438,1.1807912512451292e-4,0.004725093153040752,3.2877543794574364e-4,0.0014986965881188179,4.8442717999800174e-5,0,498,0,0,248004
2016-10-27,4797504,1651376,1545,331,1466,313,1045,110,0.002576339696642254,5.519536825816091e-4,0.0071019561868405495,0.001516311245894333,0.0017425728045250197,1.8342871626579154e-4,0,499,0,0,249001
2016-10-28,1045128,512888,9852,559,8116,526,9015,207,0.07541277240682481,0.004278901723042536,0.12659294036904745,0.008204520285130476,0.06900590166946059,0.0015844949135416907,0,500,0,0,250000
2016-10-29,5223520,2001904,2326,376,2112,350,1571,130,0.0035623487609887585,5.75856893435844e-4,0.008439965153174177,0.0013986684676188267,0.0024060403712439123,1.9909945783686098e-4,0,501,0,0,251001
2016-10-30,6374856,2173208,1805,420,1634,389,1171,146,0.0022651492049389037,5.270707291270579e-4,0.0060150708077643745,0.0014319844211874795,0.0014695233900185352,1.832198248870249e-4,0,502,0,0,252004
2016-10-31,8031792,2386104,1943,422,1812,389,1138,82,0.0019353090817092872,4.2032961012934597e-4,0.006075175264783094,0.0013042180894043177,0.0011334954889270041,8.167542187347481e-5,0,503,0,0,253009
2016-11-01,7389120,2369600,541,169,501,161,227,56,5.857260404486597e-4,1.8297172058377722e-4,0.0016914247130317354,5.435516542876436e-4,2.457667489498073e-4,6.062968256030488e-5,0,504,0,0,254016
2016-11-02,7947568,2501336,759,147,666,137,372,31,7.640073038695611e-4,1.479697940300731e-4,0.0021300616950301757,4.3816584417287404e-4,3.7445417264753193e-4,3.120451438729433e-5,0,505,0,0,255025
2016-11-03,1833184,795768,1629,497,1537,477,954,204,0.007108942692059281,0.002168903939811825,0.015451739703029023,0.00479536749404349,0.004163248206399357,8.902543334438878e-4,0,506,0,0,256036
2016-11-04,0,0,2405,722,2280,691,1533,366,0,0,0,0,0,0,0,507,0,0,257049
2016-11-05,6637008,2413552,2923,965,2756,914,1756,480,0.0035232743428966788,0.0011631747317465942,0.009135083892951135,0.0030295597525970023,0.002116616403053906,5.785739598325028e-4,0,508,0,0,258064
2016-11-06,8901656,3037992,2185,779,2003,705,1250,325,0.0019636795670378636,7.000944543352383e-4,0.005274536601808036,0.0018564894180103173,0.0011233864799987778,2.9208048479968223e-4,0,509,0,0,259081
2016-11-07,8902832,3343304,2405,802,2237,746,1488,349,0.002161110082724239,7.20669557731742e-4,0.005352788738325919,0.001785060526951782,0.0013371026208289676,3.136080743745361e-4,0,510,0,0,260100
2016-11-08,14343504,7013040,2788,1140,2582,1083,1497,485,0.0015549896315433106,6.358278981202919e-4,0.002945370338683367,0.001235412887991513,8.34942424110594e-4,2.7050572858626455e-4,0,511,0,0,261121
2016-11-09,6175032,4076120,1640,891,1607,877,1135,562,0.0021246853457601517,0.0011543260018733507,0.0031539797650707046,0.0017212447131095259,0.001470437724047422,7.280933928763446e-4,1,512,1,1,262144
2016-11-10,0,0,2428,337,2385,333,2075,178,0,0,0,0,0,0,1,513,2,4,263169
2016-11-11,2644016,1692288,392,72,384,69,297,26,0.0011860745169469473,2.1785042148005155e-4,0.0018152938506920807,3.261856137962333e-4,8.986329886052127e-4,7.866820775668528e-5,1,514,3,9,264196
